"test_ligand","auroc","aupr","aupr_corrected","pearson","sender","module","receiver"
"Plxna1",0.469186703133713,0.0042120107970509,-0.000703091973279753,-0.0092181306377893,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Plxna2",0.446045547527357,0.00406042242512576,-0.000854680345204893,-0.0111734379281197,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Postn",0.510044313816199,0.00601089411070372,0.00109579134037307,0.0182165231114454,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Prnp",0.438847387208406,0.00433318794557986,-0.00058191482475079,-0.00274354982135229,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Pros1",0.424156245889512,0.00386198666365797,-0.00105311610667269,-0.0140961348925935,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Psap",0.421022075265444,0.00402013985046781,-0.000894962919862844,-0.0131879066340732,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Psen1",0.434819683135801,0.00391451611807827,-0.00100058665225238,-0.0116283957974837,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ptdss1",0.371283558530973,0.00353865314317286,-0.00137644962715779,-0.0236253859422109,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Ptprm",0.395676568105845,0.00367916014810012,-0.00123594262223053,-0.0210783630777735,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Rarres2",0.475600186870949,0.00503909678518675,0.000123994014856098,-0.00133697536088442,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Rgma",0.442875091281011,0.0040648797655843,-0.000850223004746356,-0.0140169837939674,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Robo1",0.388714264331682,0.00361801688129571,-0.00129708588903495,-0.0217878628175236,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Rspo1",0.387326339279637,0.0036170637897054,-0.00129803898062525,-0.022374855861429,"Fibroblasts","lightcyan","SmoothMuscleCells"
"S100a8",0.456917627101722,0.0041452704745644,-0.000769832295766254,-0.0109827663039313,"Fibroblasts","lightcyan","SmoothMuscleCells"
"S100a9",0.472470551949667,0.00420011914954206,-0.00071498362078859,-0.00865353739579065,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sdc2",0.428687412971196,0.00392709840655734,-0.000988004363773309,-0.0153504731170469,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sema3b",0.415765195738248,0.00380122864330072,-0.00111387412702994,-0.0165755118981875,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sema3c",0.441727558476542,0.00404977236490685,-0.000865330405423798,-0.0131053959175944,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sema3d",0.441954343615765,0.0040689573401188,-0.000846145430211851,-0.0114686065051817,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sema4c",0.424999886607428,0.00406703837124576,-0.000848064399084888,-0.0132909938800056,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sema5a",0.425145029096526,0.00385297847364585,-0.0010621242966848,-0.015992211905492,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sema6d",0.470452164210575,0.00435099679414236,-0.000564105976188297,-0.00716656907285502,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Serpine1",0.409179355295202,0.00379621935580519,-0.00111888341452546,-0.0167085764209614,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Serpine2",0.404285331990764,0.00373181157603483,-0.00118329119429582,-0.0192055190682922,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Serpinf1",0.435187075061338,0.00400540809196113,-0.000909694678369523,-0.0132176898026357,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Serping1",0.43603071577925,0.00408757058916811,-0.000827532181162547,-0.0124048825764017,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sfrp1",0.380413928236108,0.00361581874641469,-0.00129928402391596,-0.0228318516281544,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Shisa4",0.403800011792822,0.00372648652652054,-0.00118861624381011,-0.0195818207783857,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sirpa",0.45606945068103,0.00418328675776271,-0.00073181601256794,-0.0115441837735508,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Slc6a8",0.423589283041454,0.00387011930579768,-0.00104498346453298,-0.0151482958520107,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Slit2",0.404766116485913,0.00371357994462016,-0.00120152282571049,-0.0168291888616988,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Slit3",0.403954225687494,0.00379316773474113,-0.00112193503558952,-0.0168686434795842,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Sparc",0.424568994842899,0.00383977326537812,-0.00107532950495253,-0.0129986330915582,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Spon1",0.416109909149861,0.00386112483921509,-0.00105397793111556,-0.0151197179043078,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Spon2",0.457965374444936,0.00488991799082447,-2.51847795061811e-05,-0.0037911594226991,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Tfpi",0.419892685272114,0.00385276529785918,-0.00106233747247147,-0.0125302095501018,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Tgfb1",0.439028815319779,0.00405000937758303,-0.00086509339274762,-0.0125952980214369,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Tgfb2",0.4796732479714,0.00466117392978529,-0.00025392884054536,-0.00466140419331447,"Fibroblasts","lightcyan","SmoothMuscleCells"
"Tgfb3",0.444666693880878,0.0040394091788814,-0.000875693591449248,-0.0151535835644499,"Fibroblasts","lightcyan","SmoothMuscleCells"
