source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank,clean_label,module_ligand,kME_ligand,module_receptor,kME_receptor,age_module_ligand,age_module_receptor,age_relevant
EndocardialCells,EndocardialCells,Agrn,Itgb1,0.9381659,0.0,0.75141793,0.34460604322608385,0.3536221588245642,0.062104687,0.8223542,0.036012179811482276,0.14213301286904295, ,brown,0.356244589967685,pink,0.572507776572743,True,False,True
Leukocytes,SmoothMuscleCells,Col1a2,Flt4,0.14744344,1.0,0.01671708,-0.4098463028427241,-0.6425708772361229,0.004704455,0.4084478,1.0,0.14254206617279608, ,,,tan,0.230468949826405,False,True,True
Myocytes,Leukocytes,Lgals1,Ptprc,0.9376498,0.0,0.8626708,0.942814390450089,0.7180643399299678,0.13837855,0.8322161,0.028541536280802495,0.14289319518813637, ,,,midnightblue,0.581184418882173,False,True,True
EndothelialCells,SmoothMuscleCells,App,Tspan15,0.9757713,0.0,0.6826743,0.3359689033804191,0.35104594497034686,0.07599513,0.81523734,0.036742750229567106,0.14289319518813637, ,black,0.617473609490099,lightcyan,0.545464577373123,False,True,True
Leukocytes,Fibroblasts,Col4a2,Itga1_Itgb1,0.12987009,1.0,0.016829876,-0.6402857994945359,-1.225040575268157,0.0020091624,0.40926045,1.0,0.14318529938711003, ,brown,0.55242115377533,,,True,False,True
EndothelialCells,Leukocytes,Col4a1,Cd93,0.9440709,0.0,0.68128633,0.14661559091797596,0.11033667561420135,0.03302225,0.81508404,0.342404818950143,0.1435026105838901, ,blue,0.533828563580012,brown,0.634483899866545,False,True,True
SmoothMuscleCells,EndothelialCells,Adam15,Itgb1,0.93726313,1.0,0.71143174,-0.07055733802627626,-0.12228434966889501,0.024677891,0.81832474,1.0,0.14365515259186884, ,lightcyan,0.35510465639107,,,True,False,True
EndothelialCells,Leukocytes,Mmrn2,Cd93,0.94360065,0.0,0.68082947,0.2931380562270913,0.49281515609400617,0.040279288,0.81503356,0.17644087078083726,0.1442660112543369, ,turquoise,0.746193022863879,brown,0.634483899866545,False,True,True
SmoothMuscleCells,EndocardialCells,Fbn1,Itgb1,0.9365941,0.004,0.747341,0.08841988211496288,-0.006307330919614551,0.043989405,0.82195646,0.5168050422286051,0.14441891391607886, ,brown,0.365133974520333,pink,0.572507776572743,True,False,True
Leukocytes,EndocardialCells,Fn1,Cd44,0.13229224,1.0,0.01686513,-0.21998838338036664,-0.256935670111636,0.0068008187,0.40951344,1.0,0.14447147620890866, ,,,yellow,0.212459882063522,False,True,True
EndothelialCells,Leukocytes,Col4a2,Cd93,0.9432262,0.0,0.68046564,0.20197587855700053,0.2547070750497257,0.037073072,0.81499326,0.23555718812012694,0.1445718886680139, ,yellow,0.155737396507289,brown,0.634483899866545,True,True,True
Myocytes,SmoothMuscleCells,Ntn1,Mcam,1.0689908,0.0,0.68012935,0.6853246063579573,0.6617746699631404,0.06625649,0.81495595,0.028541536280802495,0.14487805438449997, ,brown,0.721197217912499,brown,0.653447636634818,True,True,True
Leukocytes,Leukocytes,Lyz1,Itgal,0.93626547,0.0,0.7005187,1.719649563351806,1.7413379822148856,0.8005722,0.81717277,1.127442461044465e-06,0.14503124532006922, ,brown,0.600627580729136,,,True,False,True
SmoothMuscleCells,Fibroblasts,Serpine1,Plaur,0.13394077,0.929,0.016872674,-0.022976919776517918,-0.10939775248288736,0.033268504,0.4095675,1.0,0.14511441983088308, ,darkorange,0.42575759209786,black,0.648933178564793,True,False,True
Myocytes,Fibroblasts,Fgf13,Fgfr1,0.93561363,0.0,0.8423413,1.1864633410222445,1.3736144097639669,0.31168455,0.8305445,0.00012764233607585936,0.14518450828786827, ,tan,0.510793532992465,,,True,False,True
Myocytes,EndocardialCells,Adm,Ramp2,1.021354,0.0,0.678999,0.49108533715373615,0.37559904435434543,0.09806505,0.8148305,0.03027884784013543,0.14533784327340613, ,brown,0.433939583997392,turquoise,0.555959204904535,True,False,True
Leukocytes,SmoothMuscleCells,Hsp90b1,Lrp1,0.9351926,0.99,0.76023746,-0.050577934994217755,-0.1578397720960384,0.033847556,0.823205,1.0,0.14610556693460672, ,,,brown,0.561942294262648,False,True,True
Fibroblasts,SmoothMuscleCells,Tnxb,Itga8_Itgb1,0.9348631,0.0,0.774336,1.1580355691438606,1.659959178514911,0.53854775,0.8245381,0.00016098763476116021,0.14702921491582754, ,brown,0.534296365095982,,,True,False,True
Leukocytes,Myocytes,Col4a2,Itga9_Itgb1,0.13032643,1.0,0.016953912,-0.5993723748936877,-0.983295294037384,0.0021479113,0.41014838,1.0,0.1470426716280452, ,brown,0.55242115377533,,,True,False,True
EndocardialCells,SmoothMuscleCells,App,Lrp1,0.93476015,1.0,0.7597211,-0.09238236655201745,-0.19872218765932792,0.036185645,0.8231555,1.0,0.14733768282343615, ,,,brown,0.561942294262648,False,True,True
EndothelialCells,Leukocytes,Adam10,Trem2,0.93470216,0.0,0.8158224,1.0394003605984463,1.2385313042804613,0.18096235,0.8282815,0.0034632679600660418,0.14749202450679513, ,yellow,0.336816268854491,turquoise,0.7203137021718,True,False,True
EndothelialCells,Leukocytes,Gnai2,S1pr1,1.0324447,0.998,0.67487186,0.06527215023786143,-0.13088271927298128,0.022207666,0.81437016,1.0,0.14795544910182332, ,black,0.730197986867085,lightcyan,0.295561659818741,False,True,True
Fibroblasts,SmoothMuscleCells,Ltbp1,Itgb5,0.9344542,0.0,0.85627055,0.37757039630609845,0.6566733318471203,0.08208574,0.8316955,0.028541536280802495,0.14795544910182332, ,,,brown,0.48064539237368,False,True,True
EndocardialCells,Myocytes,Hspg2,Itgb1,0.9343817,1.0,0.8473033,-0.30717883113578615,-0.29002822735176237,0.02524629,0.8309575,1.0,0.148264778411168, ,brown,0.437670232192996,greenyellow,0.433544316700636,True,False,True
SmoothMuscleCells,Myocytes,Psap,Sort1,0.9343641,0.0,0.82586396,0.28854917415703857,0.3225731921445313,0.051714376,0.82914984,0.07148168065870743,0.14841955066498175, ,black,0.884290451398292,midnightblue,0.356528030180206,False,True,True
Leukocytes,Leukocytes,F13a1,Itga4,0.9340739,0.0,0.7185675,1.5938510511212378,1.7955562991608,0.71251345,0.81906545,3.0428676543717597e-06,0.14872931029843794, ,turquoise,0.662635057844452,midnightblue,0.644281789489508,False,True,True
Myocytes,SmoothMuscleCells,Gnai2,Cav1,0.9340029,1.0,0.7235745,-0.6647273924939502,-0.5021003368608533,0.016367264,0.8195794,1.0,0.1488842976490986, ,tan,0.462915726534463,midnightblue,0.401042124167732,True,True,True
