,Factor 1,Factor 2,Factor 3,Factor 4,Factor 5,Factor 6,Factor 7,Factor 8
Angptl4^Itgav_Itgb3,2.810909321504119e-23,0.001122205299777535,2.0944286113354883e-07,0.003899411717607822,0.001571020081597216,0.002257019151452594,5.760701057910889e-28,0.00329058114810789
Angptl4^Sdc1,7.973145655884113e-25,0.0033644172191480606,6.007819018761688e-05,0.00619590806634073,0.009436598834521866,0.00849518322996413,4.169895286512177e-21,0.008451785343244323
Angptl4^Sdc2,1.1705285398738522e-36,0.0024014704127232975,1.560487198239548e-06,0.015010570502730655,0.024587652412412144,0.011260377612178449,1.7655256777796459e-25,0.030868042839308107
Angptl4^Sdc3,0.020801182740563574,0.014221946609485439,0.017848705737951786,2.129502770336595e-07,0.01042680563317081,0.018397050166699836,4.0562106416785896e-27,0.004198802054312025
Angptl4^Sdc4,0.010417644219017563,0.006717756225789348,0.00022990770734036936,0.00036679919068322904,0.018865359290063045,0.020347740467308105,2.709595793852479e-23,0.015782805628854858
Angptl4^Tie1,9.401603598037294e-23,0.02208593299423208,0.04076566836729116,9.550223881074963e-06,2.591044860633391e-10,0.010995632815556945,4.0154987061569026e-29,6.57779972327188e-09
Anxa1^Dysf,4.1502771743641516e-21,0.008663085010158026,0.042859969507645895,0.03674406329489738,1.6503305359711239e-12,0.019374443151473433,0.016509830122620296,2.3969704322387675e-08
Anxa1^Egfr,0.004864429294350853,5.580165282181811e-12,1.7675471774227835e-25,2.4456468227454052e-18,0.013447028495863426,0.004242266951200138,0.0005411206596864577,0.05579530875255646
Anxa1^Fpr1,0.012505220104267583,7.274458848602229e-17,3.585097589571484e-27,0.0028704196562150354,3.7691373181848894e-08,0.0015181007116511634,1.902098823730013e-09,7.019186785678156e-18
Anxa2^Robo4,1.2671880652755096e-37,0.08975438993037604,0.09952346189493567,8.521437424430326e-05,2.1652403894736166e-18,0.005641271142063953,0.02991413325641792,1.497173890631322e-08
Anxa2^Tlr2,0.09656342587209085,0.01222909783718341,0.001320822068687484,3.45580795227289e-25,0.020904614752474366,0.01680139341441114,0.006451467592941829,2.3093728722806335e-05
Apln^Aplnr,1.3684030312481208e-40,0.014406072710240787,0.0018301978751857379,2.4968450362388038e-12,6.423768005561066e-33,3.8436129148305076e-38,9.448948309045018e-29,9.278316725104976e-29
Apoa2^Ldlr,6.820532449675831e-30,3.082848008001122e-07,0.0007755474404816872,0.001245886369484721,9.252254138047205e-05,1.9075401318716312e-21,0.0008765953273050561,0.000620359727898962
Apoa2^Lrp1,0.0008646559427332841,1.0710796259607057e-08,6.714913626232286e-06,2.2132809995796266e-14,0.0029689734193930205,7.027465601158575e-10,0.0019234518044481507,0.00459017563581696
Apod^Lepr,1.9134972960558845e-13,3.5081501677000254e-31,1.4427616390556617e-10,1.683610285344131e-24,4.919097226072929e-13,0.0017234186343017535,1.2710838418276643e-22,0.006627559620084817
Apoe^Abca1,0.09739713019395074,0.0325544456942712,0.03514192650337846,1.375217065245e-14,0.03459313985107352,0.028918562108394854,0.05931131673129642,0.04984514326727403
Apoe^Ldlr,0.02961570072381874,0.007076206733147417,0.0005423312425991004,0.02151512215439904,0.02388130076569812,0.014564245831716534,0.021187148509507276,0.030568832408517932
Apoe^Lrp1,0.08796862474058892,3.8842285017654495e-08,1.0126643243710818e-19,0.035822756562309446,0.11719912818963925,0.009593705020277673,0.05678778935301598,0.1946380212625314
Apoe^Lrp4,1.922573471877232e-21,0.014127395127508593,0.007936297418574458,1.0752287352363219e-16,0.03460802067143443,0.02343117098518308,0.022015498108365405,0.04502074677787452
Apoe^Lrp5,0.004891699243466944,0.05273582844657265,0.06049075015231432,0.004014787946054925,0.032144719328315495,0.042431070321767815,0.08108087287876126,0.03463352552436851
Apoe^Lrp6,0.059106314771403635,0.03883644338159852,0.03169134877576271,0.04417052072824898,0.043828812360367425,0.0477370090097739,0.07337440638373603,0.05294222390118342
Apoe^Lsr,0.02769742723361212,0.03208093332032017,0.023929936431216325,1.0914722330341483e-25,5.938278237534527e-06,0.025623935044313782,0.032910720676949334,1.7718502965306482e-16
Apoe^Scarb1,0.04122861770826536,0.06600134370270262,0.08836601225135277,0.01972264203696224,4.1463517584230114e-09,0.03770534795710347,0.07513887483348616,1.7321701181028908e-10
Apoe^Sdc2,8.535794344289248e-44,0.009419143114497036,1.4038676443885528e-06,0.08846988188947083,0.10318020068229186,0.010570246181194884,0.06006568325078574,0.17942348503001346
Apoe^Sorl1,0.01960832945289341,4.516281874523239e-10,2.7214144325320287e-28,0.015044141054135212,0.0018916390220648739,0.0036208262782376583,0.0026748145264071997,0.006158366102314984
Apoe^Trem2,0.15753758813275826,3.2744997311996445e-05,1.490748955872503e-12,3.2341806930618795e-16,4.75543041258554e-05,0.00340166025005829,0.013105098282514768,9.198148972567441e-12
Apoe^Vldlr,1.0271355418728025e-41,7.253688816642527e-13,6.409280732938447e-13,0.1640426523192198,0.030059774990269555,0.0059981037711515865,0.01868176908222604,0.041274023414169664
App^Aplp1,0.005465114109141878,0.008688197142761193,0.0049709259286841246,0.034996038822695766,0.006124417819871678,0.012015570763059214,0.009302509820941244,1.937364262936941e-05
App^Aplp2,0.04210835878756736,0.18100305109685577,0.12623592482797885,0.06778540353008065,0.12280147276867046,0.10283011946212692,0.14791451854897775,0.04364555512408772
App^Cd74,0.15237576898309763,0.041548904177110726,0.029543165883049817,0.05108942236979281,0.038357689524707306,0.020600107747407954,0.04208620973850096,0.008924146665406205
App^Fpr2,0.02782691883958146,1.4921640456163151e-06,2.0674811844249548e-19,0.0013831756182530485,0.0002503198855313234,1.2751222754574583e-07,9.971054507006447e-05,6.234077338042978e-15
App^Gpc1,4.821139446188764e-16,2.7702414758577844e-12,1.8154567222303562e-08,0.21005398750090012,0.0004044572043891933,0.001028145857187289,0.004793945224775577,2.753335681772794e-11
App^Lrp1,0.08229012120659356,5.698235275030745e-06,8.924758337798491e-18,0.02463857732233675,0.17680588364285965,0.009915098998878994,0.03332612120418011,0.1452294116490599
App^Lrp10,0.05368302246707211,0.08493786953327986,0.0499561108015302,0.062391011079137186,0.08824804197039868,0.05664447399651362,0.07606225139162996,0.03941163574393168
App^Lrp6,0.05943577215365965,0.05055879236374392,0.033077757072096294,0.04063283401898598,0.07206268060669976,0.035720332309233695,0.052954490773982815,0.036588929561865234
App^Ncstn,0.05259083468610196,0.07771427050653068,0.041899632339303945,0.04202031670358648,0.08632829527639706,0.058182886120085056,0.07118211639096088,0.03330756288904806
