"gene_celltype","module","celltype","gene","kME","is_hub"
"2310015A10Rik_EndocardialCells","darkgreen","EndocardialCells","2310015A10Rik",0.364980730490819,FALSE
"2310015B20Rik_EndocardialCells","purple","EndocardialCells","2310015B20Rik",0.406643654288694,FALSE
"2310021P13Rik_EndocardialCells","blue","EndocardialCells","2310021P13Rik",0.474281604754183,FALSE
"2310022B05Rik_EndocardialCells","darkred","EndocardialCells","2310022B05Rik",0.560114734010877,FALSE
"2310028H24Rik_EndocardialCells","red","EndocardialCells","2310028H24Rik",0.60757028684364,FALSE
"2310030N02Rik_EndocardialCells","pink","EndocardialCells","2310030N02Rik",0.394524118386454,FALSE
"2310033P09Rik_EndocardialCells","darkred","EndocardialCells","2310033P09Rik",0.559863048785061,FALSE
"2310035C23Rik_EndocardialCells","purple","EndocardialCells","2310035C23Rik",0.487615158118096,FALSE
"2310035K24Rik_EndocardialCells","blue","EndocardialCells","2310035K24Rik",0.0958867061643492,FALSE
"2310037I24Rik_EndocardialCells","pink","EndocardialCells","2310037I24Rik",0.415296557455163,FALSE
"2310044G17Rik_EndocardialCells","greenyellow","EndocardialCells","2310044G17Rik",0.0970384292747519,FALSE
"2310046A06Rik_EndocardialCells","paleturquoise","EndocardialCells","2310046A06Rik",0.236959379334709,FALSE
"2310047M10Rik_EndocardialCells","salmon","EndocardialCells","2310047M10Rik",0.249193767053317,FALSE
"2310057M21Rik_EndocardialCells","darkred","EndocardialCells","2310057M21Rik",0.718593397781783,FALSE
"2310061C15Rik_EndocardialCells","cyan","EndocardialCells","2310061C15Rik",0.478044015255811,FALSE
"2310061I04Rik_EndocardialCells","red","EndocardialCells","2310061I04Rik",0.637374080739647,FALSE
"2310061J03Rik_EndocardialCells","red","EndocardialCells","2310061J03Rik",0.453853753906023,FALSE
"2310079F23Rik_EndocardialCells","blue","EndocardialCells","2310079F23Rik",0.709927986181879,TRUE
"2400003C14Rik_EndocardialCells","red","EndocardialCells","2400003C14Rik",0.682530275115568,FALSE
"2400009B08Rik_EndocardialCells","purple","EndocardialCells","2400009B08Rik",0.614504990158125,FALSE
"2410001C21Rik_EndocardialCells","darkgreen","EndocardialCells","2410001C21Rik",0.414838558947062,FALSE
"2410002F23Rik_EndocardialCells","red","EndocardialCells","2410002F23Rik",0.505687402100526,FALSE
"2410002I01Rik_EndocardialCells","midnightblue","EndocardialCells","2410002I01Rik",0.221643372361189,FALSE
"2410003K15Rik_EndocardialCells","red","EndocardialCells","2410003K15Rik",0.608739677489769,FALSE
"2410004B18Rik_EndocardialCells","red","EndocardialCells","2410004B18Rik",0.608871288659154,FALSE
"2410004N09Rik_EndocardialCells","darkred","EndocardialCells","2410004N09Rik",0.799748941678376,TRUE
"2410006H16Rik_EndocardialCells","purple","EndocardialCells","2410006H16Rik",0.597049637361486,FALSE
"2410018L13Rik_EndocardialCells","paleturquoise","EndocardialCells","2410018L13Rik",0.208971006629664,FALSE
"2410042D21Rik_EndocardialCells","cyan","EndocardialCells","2410042D21Rik",0.667075677581858,TRUE
"2410057H14Rik_EndocardialCells","red","EndocardialCells","2410057H14Rik",0.463904257531,FALSE
