"","celltype","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","module","database"
"1163","EndothelialCells","GO:0007283","spermatogenesis","2/6","462/13010",0.00432900432900433,9.38672438672439,3.94262258500839,0.0171654423278739,0.0449699949604424,0.0210385941335403,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1164","EndothelialCells","GO:0072528","pyrimidine-containing compound biosynthetic process","1/6","38/13010",0.0263157894736842,57.0614035087719,7.43380896153947,0.0174008289654176,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1165","EndothelialCells","GO:0006220","pyrimidine nucleotide metabolic process","1/6","39/13010",0.0256410256410256,55.5982905982906,7.33472306892581,0.017855315168486,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1166","EndothelialCells","GO:1902175","regulation of oxidative stress-induced intrinsic apoptotic signaling pathway","1/6","39/13010",0.0256410256410256,55.5982905982906,7.33472306892581,0.017855315168486,0.0449699949604424,0.0210385941335403,"Nme5",1,"darkmagenta","GO_BP"
"1167","EndothelialCells","GO:0048232","male gamete generation","2/6","476/13010",0.00420168067226891,9.11064425770308,3.87233646585589,0.0181696949335121,0.0449699949604424,0.0210385941335403,"Lrrc46/Nme5",2,"darkmagenta","GO_BP"
"1168","EndothelialCells","GO:0044458","motile cilium assembly","1/6","42/13010",0.0238095238095238,51.6269841269841,7.05877441571075,0.0192177228345926,0.0464037697713332,0.0217093659748927,"Lrrc46",1,"darkmagenta","GO_BP"
"1169","EndothelialCells","GO:0006828","manganese ion transport","2/10","11/13010",0.181818181818182,236.545454545455,21.6753629914093,2.91394302979362e-05,0.00705174213210056,0.0053064436226768,"Slc11a1/Slc41a2",2,"steelblue","GO_BP"
"1170","Leukocytes","GO:0140115","export across plasma membrane","2/7","71/13010",0.028169014084507,52.3541247484909,10.0670759530852,0.000605853852801312,0.0181756155840394,0.0108415952606551,"Heph/Kcnt2",2,"steelblue","GO_BP"
"1171","EndothelialCells","GO:0016525","negative regulation of angiogenesis","8/145","95/13010",0.0842105263157895,7.5557168784029,6.80825556182595,1.05285500617715e-05,0.0107042924503285,0.0100865001302268,"Ccl2/Cxcl10/Gpr4/Ptprm/Serpine1/Serpinf1/Tek/Tie1",8,"royalblue","GO_BP"
"1172","EndothelialCells","GO:2000181","negative regulation of blood vessel morphogenesis","8/145","97/13010",0.0824742268041237,7.39992890152862,6.71658482071786,1.22859146338994e-05,0.0107042924503285,0.0100865001302268,"Ccl2/Cxcl10/Gpr4/Ptprm/Serpine1/Serpinf1/Tek/Tie1",8,"royalblue","GO_BP"
