"gene_celltype","module","celltype","gene","kME"
"Cpeb1_Fibroblasts","turquoise","Fibroblasts","Cpeb1",0.754366304191431
"Eif1_Leukocytes","turquoise","Leukocytes","Eif1",0.754312517667402
"Rnasek_Leukocytes","turquoise","Leukocytes","Rnasek",0.754286443488614
"Adap2_Leukocytes","turquoise","Leukocytes","Adap2",0.75426897987307
"Rpl17_Leukocytes","turquoise","Leukocytes","Rpl17",0.754216308775689
"Nampt_Leukocytes","turquoise","Leukocytes","Nampt",0.754195842561803
"Rpl24_Leukocytes","turquoise","Leukocytes","Rpl24",0.7540222576412
"Tnfrsf1a_Leukocytes","turquoise","Leukocytes","Tnfrsf1a",0.753823057394462
"Taf15_Fibroblasts","turquoise","Fibroblasts","Taf15",0.75380061658421
"Cav2_Fibroblasts","turquoise","Fibroblasts","Cav2",0.753742980697269
"B930003M22Rik_EndothelialCells","turquoise","EndothelialCells","B930003M22Rik",0.753742955770413
"D14Ertd668e_Leukocytes","turquoise","Leukocytes","D14Ertd668e",0.753653757780518
"Bcdin3d_EndothelialCells","turquoise","EndothelialCells","Bcdin3d",0.753645354128965
"Slc45a3_Fibroblasts","turquoise","Fibroblasts","Slc45a3",0.753539017031291
"Fbxo25_EndothelialCells","turquoise","EndothelialCells","Fbxo25",0.753535695046767
"Sdc3_Leukocytes","turquoise","Leukocytes","Sdc3",0.753473688735859
"Erlec1_Leukocytes","turquoise","Leukocytes","Erlec1",0.753372160038669
"Vsig10_EndothelialCells","turquoise","EndothelialCells","Vsig10",0.753326075298937
"Cltc_Leukocytes","turquoise","Leukocytes","Cltc",0.753321867935423
"Rps10_EndothelialCells","turquoise","EndothelialCells","Rps10",0.753130522591418
"Dnase1l1_EndothelialCells","turquoise","EndothelialCells","Dnase1l1",0.753123193171284
"Rpp14_Fibroblasts","turquoise","Fibroblasts","Rpp14",0.7530813074184
"Grasp_EndothelialCells","turquoise","EndothelialCells","Grasp",0.752630011004173
"Vwa5a_Leukocytes","turquoise","Leukocytes","Vwa5a",0.752425761935477
"C030006K11Rik_EndothelialCells","turquoise","EndothelialCells","C030006K11Rik",0.752305635873625
"Gas1_Fibroblasts","turquoise","Fibroblasts","Gas1",0.7519706524308
"Tshz3_Fibroblasts","turquoise","Fibroblasts","Tshz3",0.751940225471497
"Rilpl1_Fibroblasts","turquoise","Fibroblasts","Rilpl1",0.751922993026705
"Scly_Fibroblasts","turquoise","Fibroblasts","Scly",0.751836094975983
"Snrpg_Leukocytes","turquoise","Leukocytes","Snrpg",0.751715389664932
"Lyve1_Leukocytes","turquoise","Leukocytes","Lyve1",0.751691152525964
"Rps15_SmoothMuscleCells","turquoise","SmoothMuscleCells","Rps15",0.751534838681413
"Poglut1_EndothelialCells","turquoise","EndothelialCells","Poglut1",0.751363017359865
"Gm14207_EndothelialCells","turquoise","EndothelialCells","Gm14207",0.751331907748352
"Muted_Fibroblasts","turquoise","Fibroblasts","Muted",0.751293476419803
"Patl1_Fibroblasts","turquoise","Fibroblasts","Patl1",0.751212014903818
"Sec22a_EndothelialCells","turquoise","EndothelialCells","Sec22a",0.751045291069926
"Fam185a_Fibroblasts","turquoise","Fibroblasts","Fam185a",0.750864534513298
"Chek2_EndothelialCells","turquoise","EndothelialCells","Chek2",0.750796184571777
"Git1_EndothelialCells","turquoise","EndothelialCells","Git1",0.750735677211761
"Strap_EndothelialCells","turquoise","EndothelialCells","Strap",0.750489735070051
"Tek_EndocardialCells","turquoise","EndocardialCells","Tek",0.750401575324424
"Bzw2_EndothelialCells","turquoise","EndothelialCells","Bzw2",0.750257577467059
"Eif2c1_Fibroblasts","turquoise","Fibroblasts","Eif2c1",0.750100360244349
"Nr2f6_EndothelialCells","turquoise","EndothelialCells","Nr2f6",0.74989434587962
"Tom1_Leukocytes","turquoise","Leukocytes","Tom1",0.749868244155099
"Dpm3_EndocardialCells","turquoise","EndocardialCells","Dpm3",0.749824902580726
